season,competition,minutes_played,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG_Expected_Goals,npxG_Non_Penalty_xG,xAG_Exp_Assisted_Goals,npxG_xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Rec,Shots_Total,Shots_on_Target,Goals_Shot,Goals_Shot_on_Target,Average_Shot_Distance,Shots_from_Free_Kicks,npxG_Shot,Goals_xG,Non_Penalty_Goals_npxG,Passes_Completed,Passes_Attempted,Total_Passing_Distance,Progressive_Passing_Distance,Passes_Completed_Short,Passes_Attempted_Short,Passes_Completed_Medium,Passes_Attempted_Medium,Passes_Completed_Long,Passes_Attempted_Long,xA_Expected_Assists,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Live_ball_Passes,Dead_ball_Passes,Passes_from_Free_Kicks,Through_Balls,Switches,Crosses,Throw_ins_Taken,Corner_Kicks,Inswinging_Corner_Kicks,Outswinging_Corner_Kicks,Straight_Corner_Kicks,Passes_Offside,Passes_Blocked,Shot_Creating_Actions,SCA_Live_ball_Pass,SCA_Dead_ball_Pass,SCA_Take_On,SCA_Shot,SCA_Fouls_Drawn,SCA_Defensive_Action,Goal_Creating_Actions,GCA_Live_ball_Pass,GCA_Dead_ball_Pass,GCA_Take_On,GCA_Shot,GCA_Fouls_Drawn,GCA_Defensive_Action,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribbles_Challenged,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tkl_Int,Clearances,Errors,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live_Ball,Take_Ons_Attempted,Successful_Take_Ons,Times_Tackled_During_Take_On,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Carries_into_Final_Third,Carries_into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost
2022-2023,Champions League,744.0,0.48,0.12,0.60,0.48,0.00,0.00,0.00,0.00,0.62,0.62,0.22,0.83,1.45,3.75,5.32,4.23,2.18,0.11,0.22,14.70,0.00,0.15,-0.13,-0.13,32.42,38.10,386.01,77.78,21.05,23.71,7.98,8.71,0.73,1.09,0.21,2.18,1.81,1.69,0.00,36.05,1.81,0.00,0.24,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.24,0.60,4.35,3.75,0.00,0.36,0.24,0.00,0.00,0.48,0.36,0.00,0.12,0.00,0.00,0.00,0.24,0.24,0.12,0.00,0.12,0.00,0.12,0.12,0.60,0.00,0.00,0.24,0.97,0.00,48.15,0.97,3.63,17.54,27.34,5.69,48.15,2.06,0.85,1.09,28.79,125.93,42.94,0.85,1.21,1.33,0.97,39.31,0.00,0.48,0.24,0.36,0.00,0.00,0.00,1.45,0.36,1.21
2022-2023,La Liga,2038.0,0.84,0.13,0.97,0.53,0.31,0.35,0.04,0.00,0.95,0.66,0.26,0.91,3.18,6.09,6.93,4.37,1.59,0.12,0.33,15.90,0.27,0.15,-0.11,-0.13,40.80,47.25,485.33,106.74,27.56,30.69,8.52,9.27,1.06,1.41,0.24,2.12,3.14,2.25,0.00,44.69,2.30,0.18,0.40,0.31,0.13,0.18,0.40,0.00,0.00,0.00,0.27,0.49,4.50,3.80,0.04,0.27,0.31,0.09,0.00,0.31,0.22,0.00,0.04,0.04,0.00,0.00,0.40,0.22,0.09,0.18,0.13,0.09,0.49,0.40,0.49,0.00,0.09,0.49,0.22,0.00,56.70,0.31,2.47,20.18,34.27,7.73,56.35,1.94,0.88,0.97,35.20,165.03,83.91,1.90,1.37,1.41,1.24,48.22,0.00,0.44,0.27,0.97,0.09,0.00,0.00,1.55,0.62,0.57
2021-2022,La Liga,2593.0,0.94,0.42,1.35,0.69,0.24,0.38,0.00,0.00,0.82,0.52,0.27,0.80,3.05,6.14,8.75,4.06,1.67,0.17,0.42,16.20,0.10,0.13,+0.11,+0.17,36.20,43.21,479.75,105.17,23.25,25.65,8.64,10.07,1.94,2.64,0.26,2.15,2.64,2.85,0.03,40.78,1.98,0.14,0.21,0.35,0.35,0.07,0.28,0.00,0.00,0.00,0.45,0.35,4.44,3.75,0.00,0.42,0.24,0.03,0.00,0.76,0.56,0.00,0.17,0.03,0.00,0.00,0.38,0.31,0.17,0.10,0.10,0.07,0.31,0.24,0.35,0.00,0.14,0.52,0.45,0.00,52.10,0.52,2.05,17.70,32.70,7.77,51.72,1.77,1.25,0.52,33.88,167.26,84.69,2.29,1.42,1.21,0.83,44.25,0.00,0.45,0.31,1.08,0.00,0.00,0.00,1.53,0.62,1.04
2021-2022,Champions League,1102.0,1.23,0.08,1.31,0.98,0.25,0.25,0.08,0.00,0.69,0.50,0.21,0.71,3.43,4.90,7.02,3.51,1.63,0.28,0.60,17.40,0.33,0.14,+0.53,+0.48,34.71,42.63,456.13,93.51,21.81,24.91,8.49,10.29,1.96,2.45,0.18,1.55,2.70,2.12,0.16,41.16,1.31,0.00,0.33,0.08,0.82,0.00,0.16,0.00,0.00,0.00,0.16,0.90,3.92,3.27,0.00,0.49,0.08,0.08,0.00,0.57,0.41,0.00,0.08,0.00,0.08,0.00,0.25,0.16,0.00,0.16,0.08,0.00,0.57,0.57,0.90,0.00,0.08,0.33,0.90,0.00,52.19,0.98,3.43,19.68,29.56,6.53,51.94,2.12,0.98,1.14,31.44,183.02,96.04,2.61,1.14,1.14,1.63,43.69,0.00,0.16,0.33,0.65,0.08,0.00,0.00,2.86,0.57,0.74
2021-2022,2021 UEFA Euro 2020,346.0,1.04,0.00,1.04,0.78,0.26,0.26,0.00,0.00,0.83,0.62,0.05,0.68,2.08,3.64,7.80,2.60,1.04,0.30,0.75,16.00,0.00,0.24,+0.21,+0.16,32.77,37.72,459.10,90.52,20.81,22.63,8.06,9.10,1.82,1.82,0.10,0.78,2.60,0.52,0.00,34.60,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.26,1.82,1.56,0.00,0.00,0.26,0.00,0.00,0.26,0.00,0.00,0.00,0.26,0.00,0.00,0.26,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.52,0.26,0.00,45.52,0.26,3.90,21.07,21.07,4.16,45.26,3.38,1.82,1.56,22.11,114.45,46.04,0.52,1.30,2.34,1.04,37.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,0.52,0.26
2020-2021,Champions League,840.0,0.64,0.00,0.64,0.64,0.00,0.00,0.00,0.00,0.61,0.61,0.15,0.77,2.79,3.96,6.75,3.54,1.82,0.18,0.35,13.40,0.00,0.18,+0.03,+0.03,33.75,39.00,448.18,75.75,17.89,19.93,9.32,10.18,2.25,2.57,0.14,1.93,2.14,1.71,0.00,36.96,2.04,0.00,0.00,0.21,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.21,3.11,2.57,0.00,0.21,0.32,0.00,0.00,0.21,0.11,0.00,0.11,0.00,0.00,0.00,0.86,0.21,0.11,0.54,0.21,0.21,0.32,0.11,0.32,0.11,0.21,1.07,0.21,0.00,48.75,0.54,3.00,22.29,24.11,6.21,48.75,2.14,1.29,0.86,27.21,155.89,67.82,1.39,1.29,2.36,1.18,40.18,0.00,0.43,0.43,0.75,0.00,0.00,0.00,1.93,0.75,2.14
2020-2021,La Liga,2894.0,0.72,0.28,1.00,0.68,0.03,0.03,0.06,0.00,0.58,0.55,0.20,0.75,3.33,3.55,7.96,3.79,1.62,0.18,0.42,15.50,0.19,0.15,+0.14,+0.13,32.00,38.41,408.27,70.35,19.69,22.14,7.37,8.89,1.65,2.18,0.19,1.18,1.74,1.06,0.00,36.35,1.83,0.06,0.12,0.37,0.56,0.03,0.09,0.00,0.00,0.00,0.22,0.22,3.05,2.39,0.00,0.28,0.31,0.06,0.00,0.56,0.47,0.00,0.06,0.03,0.00,0.00,0.25,0.19,0.12,0.06,0.06,0.16,0.47,0.31,0.28,0.06,0.25,0.50,0.75,0.00,47.67,0.96,3.70,18.29,26.03,6.75,47.64,1.93,1.21,0.72,26.65,158.42,80.95,2.05,1.43,1.80,1.21,40.02,0.00,0.53,0.78,0.72,0.00,0.00,0.00,2.15,0.81,1.18
2019-2020,Champions League,644.0,0.70,0.28,0.98,0.70,0.00,0.00,0.00,0.00,0.91,0.91,0.39,1.30,3.77,4.89,9.08,4.33,1.96,0.16,0.36,12.40,0.00,0.21,-0.21,-0.21,35.36,40.67,463.98,95.73,23.90,26.55,7.27,8.25,1.82,2.10,0.29,2.38,1.82,2.52,0.00,38.01,2.66,0.28,0.42,0.28,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.84,4.47,3.63,0.00,0.28,0.56,0.00,0.00,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.56,0.42,0.14,0.42,0.00,0.14,0.28,0.14,0.84,0.00,0.28,0.84,0.56,0.00,51.71,0.84,2.24,16.77,32.70,7.69,51.71,2.24,1.40,0.84,32.42,193.28,98.94,3.07,1.54,1.96,1.40,43.88,0.00,0.28,0.28,0.70,0.00,0.00,0.00,1.12,1.54,1.26
2019-2020,La Liga,3141.0,0.60,0.23,0.83,0.46,0.14,0.14,0.00,0.00,0.58,0.47,0.22,0.68,3.15,4.96,7.74,3.41,1.55,0.13,0.30,15.00,0.03,0.14,+0.02,-0.01,31.75,37.68,440.03,79.68,20.03,22.66,7.54,8.91,2.09,2.55,0.18,1.69,2.12,1.46,0.00,35.96,1.52,0.03,0.26,0.43,0.66,0.00,0.00,0.00,0.00,0.00,0.20,0.34,3.47,2.92,0.00,0.34,0.14,0.06,0.00,0.49,0.43,0.00,0.06,0.00,0.00,0.00,0.52,0.23,0.09,0.32,0.11,0.06,0.46,0.40,0.46,0.11,0.20,0.72,0.86,0.03,47.54,0.95,3.15,18.34,26.30,6.82,47.39,1.95,1.09,0.86,31.29,167.13,77.48,1.58,1.86,1.83,1.17,39.46,0.00,0.60,0.43,0.77,0.00,0.00,0.00,2.03,0.83,1.09
2018-2019,La Liga,2953.0,0.64,0.18,0.82,0.55,0.09,0.09,0.03,0.00,0.54,0.47,0.18,0.65,3.35,4.11,8.32,3.08,1.25,0.18,0.44,14.00,0.00,0.15,+0.10,+0.08,30.02,36.97,421.84,74.12,19.20,22.34,7.41,8.87,2.01,2.53,0.14,1.46,2.56,1.58,0.12,34.53,2.22,0.09,0.18,0.55,0.61,0.09,0.06,0.00,0.00,0.00,0.21,0.46,3.57,2.62,0.03,0.30,0.46,0.15,0.00,0.40,0.24,0.00,0.00,0.12,0.03,0.00,0.73,0.34,0.06,0.34,0.34,0.06,0.52,0.46,0.49,0.03,0.24,0.98,0.76,0.00,46.66,0.82,2.19,19.48,25.24,6.16,46.57,2.26,1.43,0.79,30.84,170.13,78.72,2.04,1.40,1.89,1.46,38.16,0.00,0.70,0.67,1.10,0.03,0.00,0.00,1.83,1.31,1.55
