season,competition,minutes_played,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG_Expected_Goals,npxG_Non_Penalty_xG,xAG_Exp_Assisted_Goals,npxG_xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Rec,Shots_Total,Shots_on_Target,Goals_Shot,Goals_Shot_on_Target,Average_Shot_Distance,Shots_from_Free_Kicks,npxG_Shot,Goals_xG,Non_Penalty_Goals_npxG,Passes_Completed,Passes_Attempted,Total_Passing_Distance,Progressive_Passing_Distance,Passes_Completed_Short,Passes_Attempted_Short,Passes_Completed_Medium,Passes_Attempted_Medium,Passes_Completed_Long,Passes_Attempted_Long,xA_Expected_Assists,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Live_ball_Passes,Dead_ball_Passes,Passes_from_Free_Kicks,Through_Balls,Switches,Crosses,Throw_ins_Taken,Corner_Kicks,Inswinging_Corner_Kicks,Outswinging_Corner_Kicks,Straight_Corner_Kicks,Passes_Offside,Passes_Blocked,Shot_Creating_Actions,SCA_Live_ball_Pass,SCA_Dead_ball_Pass,SCA_Take_On,SCA_Shot,SCA_Fouls_Drawn,SCA_Defensive_Action,Goal_Creating_Actions,GCA_Live_ball_Pass,GCA_Dead_ball_Pass,GCA_Take_On,GCA_Shot,GCA_Fouls_Drawn,GCA_Defensive_Action,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribbles_Challenged,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tkl_Int,Clearances,Errors,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live_Ball,Take_Ons_Attempted,Successful_Take_Ons,Times_Tackled_During_Take_On,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Carries_into_Final_Third,Carries_into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost
2025-2026,Last 365 Days Men's Big 5 Leagues UCL UEL,2490.0,0.11,0.29,0.40,0.11,0.00,0.00,0.14,0.00,0.06,0.06,0.22,0.28,2.42,10.01,2.17,0.83,0.29,0.13,0.38,22.70,0.04,0.08,+0.05,+0.05,82.63,93.58,1446.61,478.99,38.96,41.10,31.63,35.02,9.54,13.63,0.22,2.67,10.63,1.41,0.11,84.80,8.53,4.01,0.61,1.27,4.92,0.43,4.01,1.88,1.19,0.00,0.25,0.43,5.31,3.72,1.34,0.04,0.11,0.07,0.04,0.58,0.51,0.07,0.00,0.00,0.00,0.00,1.92,1.23,0.98,0.83,0.11,0.72,1.73,1.01,0.72,0.29,1.52,3.43,0.98,0.04,100.66,2.35,17.93,57.04,26.82,0.98,100.66,1.48,0.72,0.65,68.86,337.08,163.37,2.53,0.47,0.51,0.43,77.89,0.00,0.61,0.98,0.07,0.00,0.00,0.00,5.28,0.25,0.65
2025-2026,Serie A,693.0,0.13,0.26,0.39,0.13,0.00,0.00,0.00,0.00,0.04,0.04,0.12,0.16,1.56,8.83,1.17,0.78,0.26,0.17,0.50,25.50,0.00,0.05,+0.09,+0.09,68.70,77.66,1331.82,474.16,27.01,27.79,28.83,32.21,11.04,14.29,0.21,2.60,8.96,1.30,0.13,68.83,8.31,5.06,0.52,1.30,4.42,0.26,2.73,1.30,1.30,0.00,0.52,0.52,5.45,3.25,1.82,0.00,0.13,0.26,0.00,0.39,0.26,0.13,0.00,0.00,0.00,0.00,2.21,1.43,1.30,0.78,0.13,0.78,1.69,0.91,0.91,0.39,1.43,3.64,1.30,0.13,85.45,2.86,16.75,53.12,17.27,0.52,85.45,1.82,0.78,0.78,54.16,269.09,128.44,1.69,0.13,0.26,0.52,61.43,0.00,0.13,1.04,0.00,0.00,0.00,0.00,6.23,0.13,0.78
2024-2025,Champions League,647.0,0.00,0.42,0.42,0.00,0.00,0.00,0.28,0.00,0.03,0.03,0.21,0.24,1.53,8.76,1.95,0.42,0.28,0.00,0.00,23.20,0.14,0.06,-0.03,-0.03,83.18,93.34,1379.63,416.06,41.31,43.40,31.30,34.50,7.51,11.55,0.28,2.36,9.32,1.39,0.28,85.41,7.79,2.92,0.97,1.39,4.87,0.70,4.17,1.39,1.11,0.00,0.14,0.14,4.45,3.20,1.11,0.14,0.00,0.00,0.00,0.56,0.42,0.14,0.00,0.00,0.00,0.00,1.53,0.70,0.56,0.83,0.14,0.56,1.81,1.25,0.28,0.14,1.53,3.06,1.11,0.00,98.90,2.78,21.56,52.02,26.01,0.56,98.90,1.25,0.83,0.42,72.47,333.29,160.66,1.95,0.28,0.70,0.42,79.57,0.00,0.97,0.83,0.00,0.00,0.00,0.00,4.87,0.14,0.42
2024-2025,La Liga,1827.0,0.10,0.30,0.39,0.10,0.00,0.00,0.34,0.00,0.08,0.08,0.34,0.42,3.05,10.25,3.10,1.08,0.30,0.09,0.33,23.10,0.05,0.07,+0.02,+0.02,84.93,97.00,1464.98,475.22,40.89,43.69,32.22,35.37,9.16,13.84,0.31,3.25,11.08,1.67,0.10,87.59,9.26,4.04,0.54,1.18,5.52,0.39,4.83,2.36,1.23,0.05,0.15,0.59,6.01,4.14,1.63,0.00,0.20,0.00,0.05,0.74,0.59,0.15,0.00,0.00,0.00,0.00,1.53,0.99,0.79,0.64,0.10,0.69,1.58,0.89,0.84,0.25,1.33,2.86,0.84,0.00,104.63,1.92,15.52,57.64,32.46,1.28,104.63,1.18,0.69,0.44,69.90,355.02,171.97,2.86,0.64,1.13,0.64,81.23,0.00,1.13,0.94,0.10,0.00,0.00,0.00,5.17,0.30,0.64
2024-2025,2024 UEFA Euro 2024,233.0,0.39,0.00,0.39,0.39,0.00,0.39,0.39,0.00,0.39,0.04,0.23,0.27,4.25,8.11,3.09,1.55,0.39,0.25,1.00,24.10,0.00,0.02,0.00,+0.35,73.39,85.36,1102.79,313.65,42.10,43.65,26.65,30.90,2.70,6.57,0.15,1.16,13.13,1.16,0.00,79.57,5.79,3.48,0.39,0.39,3.48,0.39,1.55,1.16,0.00,0.00,0.00,0.39,3.48,3.09,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,1.55,1.55,0.00,0.00,0.39,0.77,0.39,0.39,0.00,0.39,1.93,0.39,0.00,93.09,0.00,8.50,51.76,33.22,1.93,92.70,1.55,1.16,0.00,59.87,341.07,190.82,2.70,0.39,1.55,1.55,70.30,0.00,1.16,0.77,0.00,0.00,0.00,0.00,7.73,0.39,0.39
2023-2024,Champions League,420.0,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.24,0.06,0.19,0.26,3.43,10.07,4.71,1.29,0.21,0.00,0.00,25.70,0.00,0.04,-0.24,-0.06,79.93,91.71,1258.71,415.07,42.86,45.21,24.64,27.86,7.71,12.64,0.21,3.64,10.71,2.79,0.21,82.50,9.00,2.36,0.21,1.07,6.86,0.86,5.79,1.71,3.00,0.00,0.21,0.00,6.64,5.36,1.29,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.00,1.29,1.29,0.64,0.43,0.21,0.86,1.29,0.43,0.00,0.00,1.07,2.36,1.29,0.21,98.36,2.79,13.29,54.00,31.29,1.50,98.14,0.86,0.21,0.43,75.86,405.21,196.50,3.86,0.21,0.00,1.29,76.71,0.00,1.71,0.86,0.00,0.00,0.00,0.00,5.57,1.07,0.43
2023-2024,La Liga,1688.0,0.11,0.32,0.43,0.11,0.00,0.00,0.11,0.00,0.07,0.07,0.29,0.36,2.83,10.45,4.53,1.33,0.53,0.08,0.20,21.90,0.05,0.05,+0.04,+0.04,77.42,88.99,1257.07,384.79,42.12,44.52,24.47,27.35,8.00,12.05,0.26,2.93,8.64,2.24,0.21,80.30,8.32,3.57,0.32,1.44,4.80,0.48,3.68,0.80,2.03,0.00,0.37,0.48,5.60,3.95,1.12,0.11,0.21,0.11,0.11,0.69,0.64,0.05,0.00,0.00,0.00,0.00,1.17,0.80,0.53,0.32,0.32,0.48,1.33,0.85,0.69,0.21,1.12,2.29,0.48,0.00,96.61,1.17,13.65,52.09,31.62,2.61,96.61,2.40,1.12,0.91,64.09,323.69,149.02,3.04,0.69,0.64,1.01,76.08,0.00,1.01,1.12,0.11,0.00,0.00,0.00,4.91,0.43,0.43
2022-2023,Champions League,743.0,0.24,0.12,0.36,0.12,0.12,0.12,0.00,0.00,0.16,0.06,0.13,0.19,1.82,6.30,3.15,0.73,0.24,0.17,0.50,21.40,0.00,0.09,+0.08,+0.06,63.71,72.44,941.31,281.51,36.10,38.76,19.62,21.80,4.36,7.27,0.23,1.09,6.30,1.57,0.36,68.56,3.88,1.70,0.36,0.73,2.54,0.12,1.70,0.36,0.73,0.00,0.00,0.12,2.91,2.54,0.24,0.12,0.00,0.00,0.00,0.24,0.12,0.12,0.00,0.00,0.00,0.00,0.48,0.24,0.24,0.12,0.12,0.24,0.61,0.36,0.24,0.12,0.85,1.33,0.85,0.00,79.10,1.94,15.14,41.67,22.65,1.45,78.98,2.18,1.21,0.85,53.78,271.82,115.68,1.94,0.48,0.85,0.85,65.77,0.00,0.36,0.73,0.00,0.00,0.00,0.00,5.33,0.73,0.48
2022-2023,La Liga,1744.0,0.21,0.15,0.36,0.15,0.05,0.05,0.36,0.00,0.22,0.18,0.23,0.41,2.58,9.39,4.49,1.50,0.26,0.10,0.60,20.20,0.05,0.12,-0.01,-0.02,68.95,78.49,1081.86,332.91,38.19,40.56,21.36,24.10,6.55,9.24,0.22,2.17,7.90,1.14,0.15,73.02,5.37,2.12,0.36,1.14,3.20,0.52,2.27,1.14,0.62,0.00,0.10,0.52,4.39,3.87,0.31,0.10,0.05,0.05,0.00,0.46,0.31,0.10,0.00,0.00,0.05,0.00,0.98,0.46,0.31,0.31,0.36,0.52,1.29,0.77,0.77,0.26,0.52,1.50,0.36,0.00,86.75,0.98,10.99,45.67,30.55,2.43,86.70,2.43,0.98,1.08,58.42,293.17,130.67,2.53,0.72,1.60,0.98,70.24,0.00,1.08,0.83,0.15,0.00,0.00,0.00,4.44,0.57,0.72
2022-2023,2022 World Cup,653.0,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.06,0.06,0.10,0.15,2.89,11.30,2.89,0.83,0.55,0.00,0.00,21.10,0.00,0.06,-0.06,-0.06,64.09,75.94,1078.48,393.77,31.56,33.63,23.84,27.84,6.20,9.79,0.11,0.83,7.03,1.38,0.41,68.50,7.30,4.55,0.00,0.96,4.55,0.00,2.62,0.96,0.69,0.00,0.14,0.28,2.89,1.93,0.69,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,1.38,0.55,1.52,0.14,0.96,1.93,0.96,0.55,0.28,1.38,3.58,0.41,0.00,84.49,1.10,12.40,54.30,19.30,1.52,84.49,2.21,0.83,0.69,58.16,338.64,170.08,2.07,0.83,1.65,0.96,61.75,0.00,1.79,2.07,0.14,0.00,0.00,0.00,7.03,0.41,0.55
2021-2022,Champions League,1073.0,0.00,0.34,0.34,0.00,0.00,0.00,0.08,0.00,0.12,0.12,0.17,0.29,2.52,7.80,2.35,1.17,0.42,0.00,0.00,22.10,0.00,0.10,-0.12,-0.12,59.72,67.52,968.11,292.23,30.11,32.21,20.13,21.98,6.04,7.63,0.17,1.17,6.71,1.09,0.08,63.58,3.86,2.10,0.42,0.84,1.01,0.17,0.84,0.08,0.34,0.00,0.08,0.34,2.68,2.43,0.17,0.00,0.08,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,1.26,0.75,0.42,0.50,0.34,0.59,1.68,1.09,0.42,0.08,1.34,2.60,0.42,0.00,73.73,1.17,16.10,39.25,19.04,0.92,73.73,1.26,1.17,0.08,43.03,243.16,118.01,1.93,0.34,0.84,1.09,58.38,0.00,0.25,0.67,0.00,0.00,0.00,0.00,4.61,0.75,0.67
2021-2022,La Liga,2032.0,0.09,0.35,0.44,0.04,0.04,0.04,0.18,0.00,0.11,0.08,0.23,0.30,2.97,9.79,3.85,1.15,0.44,0.04,0.10,22.00,0.04,0.06,-0.02,-0.03,66.44,75.56,1116.45,337.37,33.35,35.39,22.90,25.29,7.31,9.70,0.23,1.64,8.33,1.68,0.13,70.29,4.96,2.83,0.49,1.55,2.13,0.53,1.33,0.44,0.31,0.00,0.31,0.27,3.72,3.01,0.40,0.13,0.13,0.00,0.04,0.49,0.35,0.04,0.00,0.09,0.00,0.00,0.80,0.44,0.35,0.31,0.13,0.27,1.20,0.93,0.44,0.18,0.89,1.68,0.40,0.00,83.05,0.80,14.88,40.84,27.95,2.21,83.00,2.13,1.42,0.71,58.91,300.21,146.12,1.73,0.62,1.33,0.97,66.22,0.00,1.06,1.42,0.04,0.00,0.00,0.00,5.45,0.27,0.62
2021-2022,2021 UEFA Euro 2020,383.0,0.24,0.24,0.47,0.24,0.00,0.00,0.00,0.00,0.02,0.02,0.31,0.33,1.64,5.87,2.35,0.71,0.47,0.33,0.50,25.70,0.00,0.04,+0.21,+0.21,57.81,67.91,970.97,308.54,28.67,30.55,20.21,21.85,6.58,9.63,0.24,1.64,4.70,0.94,0.00,61.33,5.64,3.05,0.00,1.17,1.88,0.24,2.11,0.47,0.71,0.00,0.94,0.24,2.58,1.64,0.94,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.00,0.00,0.00,0.00,0.94,0.94,0.47,0.47,0.00,0.24,0.71,0.47,0.47,0.24,0.94,1.88,0.47,0.24,73.55,0.94,15.74,44.41,14.10,0.47,73.55,1.64,0.94,0.71,50.29,279.16,121.49,0.71,0.24,1.17,0.71,57.57,0.00,0.71,1.17,0.00,0.00,0.00,0.00,4.93,0.00,0.94
2020-2021,Champions League,912.0,0.10,0.30,0.39,0.10,0.00,0.00,0.00,0.00,0.08,0.08,0.14,0.22,2.07,9.57,2.07,1.18,0.30,0.08,0.33,22.70,0.00,0.07,+0.02,+0.02,76.58,86.94,1261.18,375.59,36.61,38.29,26.15,29.61,8.49,11.45,0.20,1.68,8.09,1.68,0.10,83.88,2.76,2.07,0.39,1.68,1.48,0.30,0.39,0.20,0.10,0.00,0.30,0.10,3.06,2.57,0.20,0.20,0.00,0.00,0.10,0.69,0.49,0.00,0.10,0.00,0.00,0.10,1.28,0.69,0.79,0.39,0.10,0.79,2.57,1.78,0.30,0.20,1.78,3.06,0.10,0.00,94.24,1.18,15.79,57.14,22.30,1.48,94.24,1.97,1.18,0.79,65.72,320.92,135.49,1.88,0.69,1.09,0.89,76.88,0.00,0.49,0.89,0.00,0.00,0.00,0.00,7.70,0.39,0.79
2020-2021,La Liga,2733.0,0.16,0.10,0.26,0.16,0.00,0.00,0.13,0.00,0.08,0.08,0.15,0.23,2.21,9.32,3.56,1.48,0.49,0.11,0.33,22.10,0.03,0.05,+0.09,+0.09,65.17,76.14,1105.98,335.07,31.84,34.54,21.57,24.57,8.00,10.70,0.18,1.65,6.98,1.91,0.20,71.20,4.71,2.73,0.26,1.91,2.60,0.53,1.45,0.43,0.59,0.00,0.23,0.40,3.42,2.67,0.40,0.16,0.07,0.07,0.07,0.26,0.23,0.00,0.03,0.00,0.00,0.00,1.22,0.76,0.59,0.53,0.10,0.43,1.19,0.76,0.46,0.07,1.58,2.80,0.46,0.03,84.11,1.09,14.16,45.08,25.75,1.68,84.11,2.44,1.81,0.63,57.86,302.73,135.02,2.47,0.43,1.38,1.09,66.72,0.00,0.99,1.09,0.03,0.00,0.00,0.00,6.09,0.63,0.69
2019-2020,Champions League,391.0,0.23,0.00,0.23,0.23,0.00,0.00,0.69,0.00,0.07,0.07,0.05,0.12,2.76,8.29,3.22,1.38,0.23,0.17,1.00,18.50,0.00,0.06,+0.16,+0.16,63.76,73.20,1109.92,294.86,28.77,31.76,23.94,26.93,7.60,10.13,0.09,1.15,8.75,1.15,0.00,69.28,3.91,2.30,0.00,0.92,2.30,0.00,1.38,0.92,0.23,0.00,0.00,0.23,3.68,2.53,0.46,0.00,0.00,0.46,0.23,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.92,0.69,0.00,0.69,0.23,0.23,1.38,1.15,0.23,0.00,1.84,2.76,0.92,0.23,80.79,0.69,14.27,46.27,21.41,2.53,80.79,1.15,0.23,0.92,60.08,365.98,162.97,2.76,0.92,0.69,0.69,63.99,0.00,1.15,1.84,0.00,0.00,0.00,0.00,6.68,0.46,0.92
