season,competition,minutes_played,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG_Expected_Goals,npxG_Non_Penalty_xG,xAG_Exp_Assisted_Goals,npxG_xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Rec,Shots_Total,Shots_on_Target,Goals_Shot,Goals_Shot_on_Target,Average_Shot_Distance,Shots_from_Free_Kicks,npxG_Shot,Goals_xG,Non_Penalty_Goals_npxG,Passes_Completed,Passes_Attempted,Total_Passing_Distance,Progressive_Passing_Distance,Passes_Completed_Short,Passes_Attempted_Short,Passes_Completed_Medium,Passes_Attempted_Medium,Passes_Completed_Long,Passes_Attempted_Long,xA_Expected_Assists,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Live_ball_Passes,Dead_ball_Passes,Passes_from_Free_Kicks,Through_Balls,Switches,Crosses,Throw_ins_Taken,Corner_Kicks,Inswinging_Corner_Kicks,Outswinging_Corner_Kicks,Straight_Corner_Kicks,Passes_Offside,Passes_Blocked,Shot_Creating_Actions,SCA_Live_ball_Pass,SCA_Dead_ball_Pass,SCA_Take_On,SCA_Shot,SCA_Fouls_Drawn,SCA_Defensive_Action,Goal_Creating_Actions,GCA_Live_ball_Pass,GCA_Dead_ball_Pass,GCA_Take_On,GCA_Shot,GCA_Fouls_Drawn,GCA_Defensive_Action,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribbles_Challenged,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tkl_Int,Clearances,Errors,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live_Ball,Take_Ons_Attempted,Successful_Take_Ons,Times_Tackled_During_Take_On,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Carries_into_Final_Third,Carries_into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost
2025-2026,Last 365 Days Men's Big 5 Leagues UCL UEL,2520.0,1.00,0.36,1.36,0.89,0.11,0.14,0.07,0.04,0.85,0.74,0.35,1.08,6.25,7.21,11.39,4.71,2.04,0.19,0.44,16.60,0.04,0.16,+0.15,+0.16,45.68,57.32,730.11,190.46,24.14,27.93,16.25,20.07,3.71,5.14,0.30,3.32,4.93,2.36,0.07,52.39,4.61,0.32,0.89,0.36,3.54,0.11,3.00,0.54,0.82,0.00,0.32,0.14,5.82,4.00,0.96,0.46,0.36,0.04,0.00,0.79,0.50,0.11,0.04,0.14,0.00,0.00,0.57,0.21,0.04,0.32,0.21,0.25,0.79,0.54,0.14,0.00,0.25,0.82,0.18,0.11,68.96,0.18,2.64,25.39,41.50,7.93,68.82,4.29,2.00,2.18,43.46,281.71,169.96,4.43,3.29,1.71,1.39,58.14,0.04,0.46,0.61,0.46,0.00,0.00,0.00,1.96,0.25,0.68
2024-2025,Ligue 1,1730.0,1.09,0.31,1.40,1.04,0.05,0.05,0.05,0.00,0.86,0.82,0.43,1.25,6.61,7.13,13.11,4.99,2.55,0.21,0.41,16.00,0.00,0.16,+0.23,+0.22,43.91,55.56,699.87,191.71,23.41,27.57,15.40,18.57,3.75,5.46,0.37,3.28,4.84,2.86,0.16,51.29,3.85,0.47,0.68,0.52,4.16,0.16,2.50,0.73,0.83,0.00,0.42,0.16,5.72,3.90,0.83,0.47,0.31,0.16,0.05,0.78,0.57,0.00,0.05,0.10,0.05,0.00,0.57,0.26,0.00,0.36,0.21,0.21,0.62,0.42,0.16,0.00,0.47,1.04,0.10,0.05,68.83,0.10,2.45,25.02,41.88,8.38,68.77,4.94,2.19,2.65,45.62,315.16,179.27,4.53,3.43,2.13,1.66,58.63,0.00,0.42,0.73,0.47,0.05,0.00,0.00,2.03,0.21,0.31
2024-2025,Champions League,1158.0,0.62,0.47,1.09,0.62,0.00,0.00,0.16,0.08,0.63,0.63,0.29,0.92,6.92,6.76,10.73,4.97,1.79,0.13,0.35,16.50,0.08,0.13,-0.01,-0.01,38.55,50.44,620.36,161.81,19.90,23.16,14.22,18.26,2.88,4.35,0.22,2.95,3.89,2.18,0.00,45.08,5.21,0.23,0.93,0.08,4.04,0.08,3.58,0.54,1.09,0.00,0.16,0.23,6.22,4.04,1.01,0.62,0.31,0.23,0.00,0.70,0.54,0.08,0.00,0.08,0.00,0.00,0.54,0.23,0.16,0.31,0.08,0.31,0.93,0.62,0.23,0.00,0.16,0.70,0.23,0.16,62.10,0.08,2.56,22.23,38.08,8.78,62.10,3.96,1.87,1.94,36.84,259.43,165.85,4.20,4.51,2.10,1.09,50.60,0.08,0.70,1.01,0.54,0.00,0.00,0.00,2.72,0.16,1.01
2024-2025,2024 UEFA Euro 2024,361.0,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.12,0.12,0.30,0.42,7.98,3.49,11.47,1.99,0.25,0.00,0.00,19.40,0.00,0.07,-0.12,-0.12,29.67,43.88,515.07,115.93,17.20,20.69,8.23,12.22,3.99,7.98,0.22,3.49,1.50,1.99,0.50,38.39,5.48,1.00,0.50,0.25,8.98,0.50,3.99,0.75,1.99,0.00,0.00,1.75,6.73,3.74,1.50,0.75,0.25,0.50,0.00,0.50,0.25,0.00,0.00,0.00,0.25,0.00,1.99,1.25,0.00,1.25,0.75,0.75,0.75,0.00,1.75,0.00,0.25,2.24,0.50,0.25,56.84,0.50,3.24,17.95,36.65,6.23,56.84,7.98,3.74,2.74,39.89,361.75,219.39,4.49,2.99,1.99,0.00,40.14,0.00,1.75,1.75,0.25,0.25,0.00,0.00,2.99,0.75,0.50
2023-2024,Champions League,951.0,0.19,0.09,0.28,0.19,0.00,0.00,0.47,0.00,0.28,0.28,0.17,0.45,8.99,5.77,12.97,3.12,0.95,0.06,0.20,16.70,0.09,0.09,-0.09,-0.09,38.14,55.46,628.49,157.85,19.31,24.13,15.62,21.10,2.65,6.15,0.21,2.18,2.74,2.74,0.28,49.21,5.68,0.57,0.38,0.09,8.14,0.38,4.54,0.76,1.51,0.00,0.57,0.57,5.30,3.88,0.66,0.38,0.19,0.19,0.00,0.66,0.28,0.19,0.00,0.09,0.09,0.00,1.42,0.95,0.28,0.66,0.47,0.57,1.42,0.85,0.57,0.00,0.57,1.99,0.09,0.00,68.23,0.19,4.07,21.58,43.34,7.29,68.23,5.21,2.18,2.46,55.55,391.61,212.37,5.58,3.79,2.93,1.23,54.32,0.00,0.95,1.23,0.09,0.09,0.00,0.00,3.22,0.28,0.57
2023-2024,Ligue 1,1506.0,0.18,0.48,0.66,0.18,0.00,0.00,0.00,0.00,0.26,0.26,0.40,0.66,9.56,7.95,14.76,2.57,0.84,0.07,0.21,17.10,0.00,0.10,-0.08,-0.08,47.33,62.39,797.15,234.44,22.71,27.13,18.82,24.08,3.94,6.81,0.35,3.53,5.02,3.11,0.48,58.21,3.88,0.78,0.66,0.24,5.92,0.18,2.93,0.42,1.08,0.00,0.30,0.66,7.05,5.14,0.54,0.72,0.36,0.18,0.12,1.14,0.96,0.00,0.06,0.06,0.06,0.00,1.14,0.84,0.12,0.42,0.60,0.36,0.78,0.42,0.66,0.00,0.30,1.43,0.24,0.06,75.06,0.36,3.35,29.88,43.39,5.80,75.06,8.31,3.88,4.00,63.88,485.26,263.73,6.27,3.17,2.21,1.43,62.45,0.00,0.42,1.61,0.36,0.06,0.00,0.00,3.53,0.18,0.36
2022-2023,Champions League,413.0,0.22,0.44,0.65,0.22,0.00,0.00,0.22,0.00,0.24,0.24,0.33,0.57,7.85,5.67,14.60,2.18,1.09,0.10,0.20,20.40,0.00,0.11,-0.02,-0.02,38.35,56.44,686.44,190.24,18.09,23.54,14.82,20.70,4.58,8.28,0.41,2.40,1.31,3.27,0.22,50.12,6.10,1.96,0.44,0.44,11.11,0.22,3.92,1.53,1.53,0.00,0.22,0.22,6.10,3.49,1.09,0.65,0.22,0.22,0.44,0.87,0.44,0.22,0.00,0.00,0.00,0.22,2.40,1.53,0.65,0.87,0.87,0.87,1.09,0.22,0.22,0.00,0.44,2.83,0.00,0.00,72.13,0.22,2.83,19.61,50.12,3.70,72.13,8.72,2.62,5.45,49.69,431.04,208.11,5.01,1.31,2.18,2.18,53.83,0.00,1.09,1.31,0.44,0.00,0.00,0.00,3.49,0.44,0.22
2022-2023,La Liga,1410.0,0.32,0.45,0.77,0.32,0.00,0.00,0.26,0.00,0.25,0.25,0.31,0.56,7.91,4.72,13.34,3.13,1.02,0.10,0.31,16.70,0.00,0.08,+0.07,+0.07,40.98,54.51,642.64,130.02,24.00,27.26,12.45,16.34,3.45,6.77,0.32,2.62,1.34,2.36,0.32,49.02,5.11,0.45,0.83,0.26,6.77,0.51,4.15,1.09,1.21,0.06,0.38,0.57,5.49,3.32,0.83,0.96,0.19,0.19,0.00,0.77,0.57,0.00,0.13,0.06,0.00,0.00,1.21,0.77,0.26,0.51,0.45,0.26,0.96,0.70,0.64,0.06,0.00,1.21,0.13,0.00,66.45,0.13,1.91,19.85,45.89,6.57,66.45,7.28,3.32,3.19,48.19,384.51,212.43,4.79,3.57,1.72,1.15,53.68,0.00,1.02,1.21,0.32,0.00,0.00,0.00,3.83,0.26,0.77
2022-2023,2022 World Cup,433.0,0.00,0.42,0.42,0.00,0.00,0.00,0.21,0.00,0.10,0.10,0.33,0.44,4.78,3.12,9.35,1.66,0.42,0.00,0.00,20.20,0.00,0.06,-0.10,-0.10,30.14,39.91,484.71,98.73,15.80,18.50,10.60,13.09,2.49,5.20,0.21,2.29,1.46,2.70,1.25,39.49,0.42,0.00,0.21,0.42,3.95,0.42,0.00,0.00,0.00,0.00,0.00,0.62,3.53,3.33,0.00,0.00,0.00,0.21,0.00,0.62,0.62,0.00,0.00,0.00,0.00,0.00,2.29,1.25,1.04,0.62,0.62,1.25,1.87,0.62,0.62,0.00,0.42,2.70,0.00,0.00,50.72,0.42,5.20,16.63,29.93,3.33,50.72,4.78,1.87,2.29,34.09,261.06,138.01,3.12,0.83,1.66,1.25,37.41,0.00,1.25,0.62,0.42,0.00,0.21,0.00,5.40,0.42,0.21
2021-2022,La Liga,1409.0,0.06,0.83,0.89,0.06,0.00,0.00,0.19,0.00,0.17,0.17,0.53,0.70,8.18,4.47,12.84,2.94,0.45,0.02,0.14,19.50,0.06,0.06,-0.10,-0.10,38.39,52.63,589.63,152.28,21.65,24.59,11.82,16.61,3.19,6.83,0.59,2.87,1.98,2.68,0.77,48.16,4.28,0.57,0.70,0.64,9.20,0.70,3.00,1.02,1.53,0.00,0.19,0.51,5.62,3.83,0.70,0.64,0.26,0.19,0.00,1.09,0.83,0.19,0.06,0.00,0.00,0.00,1.53,1.02,0.38,0.64,0.51,0.45,1.47,1.02,0.51,0.00,0.51,2.04,0.19,0.00,65.09,0.32,3.96,20.44,41.45,5.37,65.09,5.75,3.77,1.98,47.27,398.13,216.92,5.49,3.26,2.36,1.79,51.93,0.00,0.70,1.09,0.26,0.00,0.00,0.00,4.02,0.26,0.32
