season,competition,minutes_played,Goals,Assists,Goals_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG_Expected_Goals,npxG_Non_Penalty_xG,xAG_Exp_Assisted_Goals,npxG_xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Rec,Shots_Total,Shots_on_Target,Goals_Shot,Goals_Shot_on_Target,Average_Shot_Distance,Shots_from_Free_Kicks,npxG_Shot,Goals_xG,Non_Penalty_Goals_npxG,Passes_Completed,Passes_Attempted,Total_Passing_Distance,Progressive_Passing_Distance,Passes_Completed_Short,Passes_Attempted_Short,Passes_Completed_Medium,Passes_Attempted_Medium,Passes_Completed_Long,Passes_Attempted_Long,xA_Expected_Assists,Key_Passes,Passes_into_Final_Third,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Live_ball_Passes,Dead_ball_Passes,Passes_from_Free_Kicks,Through_Balls,Switches,Crosses,Throw_ins_Taken,Corner_Kicks,Inswinging_Corner_Kicks,Outswinging_Corner_Kicks,Straight_Corner_Kicks,Passes_Offside,Passes_Blocked,Shot_Creating_Actions,SCA_Live_ball_Pass,SCA_Dead_ball_Pass,SCA_Take_On,SCA_Shot,SCA_Fouls_Drawn,SCA_Defensive_Action,Goal_Creating_Actions,GCA_Live_ball_Pass,GCA_Dead_ball_Pass,GCA_Take_On,GCA_Shot,GCA_Fouls_Drawn,GCA_Defensive_Action,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribbles_Challenged,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tkl_Int,Clearances,Errors,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live_Ball,Take_Ons_Attempted,Successful_Take_Ons,Times_Tackled_During_Take_On,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Carries_into_Final_Third,Carries_into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Card,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerials_Won,Aerials_Lost
2025-2026,Last 365 Days Men's Big 5 Leagues UCL UEL,3715.0,0.19,0.19,0.39,0.15,0.05,0.07,0.02,0.00,0.12,0.07,0.13,0.20,2.33,8.87,1.79,1.41,0.51,0.10,0.29,26.30,0.07,0.05,+0.07,+0.08,98.36,105.50,1747.62,398.76,43.95,45.42,40.92,42.88,10.90,13.03,0.19,1.50,10.93,1.62,0.15,101.14,4.19,3.34,0.48,1.07,1.09,0.41,0.17,0.07,0.02,0.00,0.17,0.63,3.71,3.13,0.27,0.12,0.10,0.02,0.07,0.48,0.39,0.05,0.02,0.00,0.00,0.02,1.45,0.85,0.44,0.82,0.19,0.82,1.77,0.94,0.82,0.19,0.87,2.33,1.14,0.10,113.33,2.57,15.82,72.70,25.49,0.99,113.26,1.77,1.19,0.48,76.31,392.12,187.75,2.71,0.27,1.04,0.75,93.20,0.00,0.31,0.75,0.00,0.00,0.00,0.00,6.23,0.05,0.24
2025-2026,Ligue 1,562.0,0.16,0.64,0.80,0.16,0.00,0.00,0.00,0.00,0.06,0.06,0.18,0.24,4.00,12.65,1.28,2.24,0.80,0.07,0.20,28.00,0.16,0.03,+0.10,+0.10,128.59,136.92,2248.08,582.12,59.25,60.21,54.45,57.33,12.49,15.21,0.27,2.08,16.65,2.08,0.16,131.48,5.28,3.52,0.48,0.48,1.44,0.64,0.16,0.16,0.00,0.00,0.16,0.32,4.48,3.84,0.32,0.00,0.00,0.16,0.16,0.96,0.80,0.00,0.00,0.00,0.00,0.16,0.80,0.64,0.32,0.16,0.32,0.48,1.28,0.80,0.48,0.16,0.48,1.28,0.80,0.00,143.01,1.28,13.45,99.45,30.91,0.16,143.01,0.96,0.64,0.32,100.57,583.40,308.43,4.64,0.00,0.48,0.80,122.83,0.00,0.16,1.44,0.00,0.00,0.00,0.00,6.41,0.00,0.00
2025-2026,Champions League,270.0,0.33,0.33,0.67,0.33,0.00,0.00,0.00,0.00,0.03,0.03,0.17,0.20,0.67,5.00,1.00,1.00,0.33,0.33,1.00,26.90,0.00,0.02,+0.30,+0.30,91.33,98.33,1613.00,393.67,38.67,39.00,38.00,40.00,10.33,13.00,0.13,1.67,8.00,1.00,0.00,91.00,6.67,6.33,0.67,1.67,0.67,0.00,0.00,0.00,0.00,0.00,0.67,0.33,4.67,4.00,0.67,0.00,0.00,0.00,0.00,1.33,1.33,0.00,0.00,0.00,0.00,0.00,1.67,1.33,1.00,0.67,0.00,1.67,3.00,1.33,0.33,0.00,0.67,2.33,0.67,0.33,103.33,3.00,22.00,64.67,17.67,0.33,103.33,0.00,0.00,0.00,77.00,352.00,133.33,1.00,0.33,1.33,0.00,81.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,7.67,0.00,0.33
2024-2025,Ligue 1,2042.0,0.22,0.04,0.26,0.13,0.09,0.09,0.04,0.00,0.15,0.08,0.11,0.19,2.34,9.87,2.51,1.10,0.53,0.12,0.25,24.20,0.09,0.07,+0.07,+0.05,98.55,105.91,1745.57,406.72,44.82,46.63,40.55,42.44,11.06,13.09,0.17,1.19,11.33,1.63,0.13,102.47,3.31,2.47,0.57,0.97,0.93,0.44,0.26,0.09,0.04,0.00,0.13,0.84,3.22,2.91,0.09,0.13,0.09,0.00,0.00,0.18,0.09,0.04,0.04,0.00,0.00,0.00,1.90,1.01,0.57,1.19,0.13,1.10,2.12,1.01,1.15,0.31,0.62,2.51,0.84,0.09,113.76,2.56,15.69,71.27,27.46,1.41,113.67,1.76,1.19,0.44,77.39,391.07,186.21,2.60,0.40,1.32,0.84,95.20,0.00,0.40,0.53,0.00,0.00,0.00,0.00,6.35,0.04,0.22
2024-2025,Champions League,1447.0,0.12,0.12,0.25,0.06,0.06,0.12,0.00,0.00,0.14,0.04,0.13,0.17,1.49,6.41,1.31,1.24,0.31,0.05,0.20,28.50,0.00,0.04,-0.02,+0.02,81.35,87.64,1443.55,296.62,36.95,38.56,32.34,33.96,9.39,11.01,0.16,1.43,7.90,1.31,0.19,83.66,3.92,3.48,0.25,1.37,1.37,0.25,0.12,0.00,0.12,0.00,0.06,0.44,3.61,2.74,0.50,0.12,0.12,0.00,0.12,0.50,0.37,0.12,0.00,0.00,0.00,0.00,1.06,0.56,0.25,0.56,0.25,0.50,1.12,0.62,0.56,0.12,1.31,2.36,1.68,0.12,95.91,2.67,14.93,60.52,21.02,0.75,95.78,2.24,1.37,0.68,59.90,285.24,128.31,2.55,0.12,0.87,0.87,75.88,0.00,0.25,0.87,0.00,0.00,0.00,0.00,5.35,0.06,0.37
2024-2025,2024 UEFA Euro 2024,358.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.03,0.20,1.76,7.04,2.26,2.01,0.75,0.00,0.00,22.40,0.00,0.08,-0.15,-0.15,73.91,81.20,1253.72,276.03,35.70,36.96,33.44,34.94,4.27,7.29,0.08,0.75,8.04,0.75,0.25,76.93,4.02,0.75,0.50,0.25,3.77,0.50,2.77,0.75,1.01,0.00,0.25,0.50,3.02,2.26,0.00,0.00,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75,0.00,0.50,0.25,0.25,0.75,0.50,0.75,0.25,0.50,1.26,0.75,0.00,87.74,1.01,10.81,53.55,24.39,1.76,87.74,1.01,0.75,0.25,65.61,317.26,162.91,3.02,0.25,1.01,0.25,70.39,0.00,0.00,2.51,0.00,0.00,0.00,0.00,6.54,0.00,0.00
2023-2024,Champions League,914.0,0.20,0.10,0.30,0.20,0.00,0.00,0.20,0.00,0.13,0.13,0.21,0.33,2.17,8.17,2.36,2.17,0.59,0.09,0.33,25.00,0.00,0.06,+0.07,+0.07,66.86,72.37,1202.69,275.71,28.16,30.13,28.26,29.74,8.07,9.45,0.17,1.87,8.37,1.77,0.10,67.84,4.43,2.26,0.10,0.79,1.48,0.39,1.08,0.20,0.49,0.00,0.10,0.79,4.14,3.54,0.30,0.10,0.10,0.00,0.10,0.39,0.39,0.00,0.00,0.00,0.00,0.00,1.48,1.08,0.49,0.79,0.20,0.30,1.18,0.89,0.79,0.00,1.28,2.76,1.38,0.00,81.14,2.66,13.79,43.33,25.21,1.28,81.14,1.77,1.08,0.59,63.91,337.55,167.40,2.07,0.39,0.49,0.89,59.77,0.00,1.48,0.30,0.10,0.00,0.00,0.00,7.19,0.30,0.30
2023-2024,Ligue 1,2126.0,0.30,0.17,0.47,0.30,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.27,1.74,7.70,5.16,1.91,0.80,0.16,0.37,21.50,0.04,0.07,+0.17,+0.17,70.23,78.32,1145.74,284.31,35.26,37.89,27.09,29.25,5.25,6.69,0.17,1.57,6.56,1.35,0.08,74.17,3.94,1.78,0.34,0.47,1.61,0.34,0.80,0.38,0.13,0.00,0.21,0.76,3.34,2.88,0.30,0.08,0.00,0.08,0.00,0.59,0.51,0.04,0.00,0.00,0.04,0.00,1.65,1.02,0.51,0.68,0.47,0.68,2.03,1.35,1.23,0.47,0.97,2.62,1.27,0.08,88.65,2.71,14.14,46.27,29.00,2.12,88.65,2.20,1.35,0.80,72.18,353.65,146.56,2.88,0.47,1.31,0.97,68.66,0.00,0.72,0.68,0.04,0.00,0.00,0.00,6.52,0.17,0.42
2022-2023,Champions League,584.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.03,0.11,1.70,5.39,2.47,0.77,0.31,0.00,0.00,22.60,0.00,0.11,-0.09,-0.09,61.34,67.19,887.83,214.67,34.67,37.14,18.18,19.11,3.85,4.78,0.06,0.46,5.24,0.46,0.00,66.58,0.46,0.31,0.00,0.15,0.31,0.00,0.00,0.00,0.00,0.00,0.15,1.08,1.54,1.23,0.00,0.15,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.92,0.46,0.62,0.15,0.15,1.70,1.54,1.23,0.15,2.00,3.24,0.15,0.00,76.44,1.54,16.49,44.23,16.80,1.54,76.44,2.16,1.23,0.46,64.26,339.97,145.02,3.39,0.15,2.47,1.54,59.33,0.00,0.77,1.08,0.00,0.00,0.00,0.00,7.86,0.31,0.46
2022-2023,Ligue 1,2446.0,0.07,0.11,0.18,0.07,0.00,0.00,0.11,0.00,0.11,0.11,0.11,0.22,1.84,5.04,3.46,1.14,0.40,0.06,0.18,20.50,0.00,0.10,-0.04,-0.04,65.72,71.57,962.11,212.38,35.32,37.46,22.56,24.17,3.50,4.16,0.13,0.99,6.26,0.88,0.04,70.76,0.66,0.33,0.26,0.22,0.48,0.11,0.22,0.07,0.11,0.00,0.15,0.85,2.69,2.32,0.07,0.00,0.15,0.07,0.07,0.37,0.29,0.00,0.00,0.04,0.04,0.00,2.13,0.92,0.77,0.99,0.37,0.99,3.05,2.06,0.99,0.15,0.92,3.05,0.55,0.00,80.54,1.51,11.96,47.80,21.49,1.40,80.54,1.95,1.14,0.63,68.88,365.41,167.49,2.72,0.18,1.21,1.21,65.72,0.00,1.14,0.70,0.00,0.00,0.00,0.00,6.03,0.18,0.15
