Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Statistic,Per 90,Percentile,,,
Non-Penalty Goals,0.61,88.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
npxG: Non-Penalty xG,0.57,88.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Shots Total,3.00,77.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Assists,0.20,79.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
xAG: Exp. Assisted Goals,0.14,70.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
npxG + xAG,0.71,88.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Shot-Creating Actions,2.79,79.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
,,,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Passes Attempted,23.09,74.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Pass Completion %,75.4%,78.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Progressive Passes,3.17,93.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Progressive Carries,2.52,92.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Successful Take-Ons,1.36,91.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Touches (Att Pen),6.06,84.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Progressive Passes Rec,7.05,89.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
,,,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Tackles,0.44,32.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Interceptions,0.07,12.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Blocks,0.41,22.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Clearances,0.48,18.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
Aerials Won,0.89,17.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,2643.0
