Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Statistic,Per 90,Percentile,,,
Non-Penalty Goals,0.51,76.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
npxG: Non-Penalty xG,0.60,92.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Shots Total,3.67,93.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Assists,0.24,87.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
xAG: Exp. Assisted Goals,0.19,89.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
npxG + xAG,0.79,94.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Shot-Creating Actions,3.14,86.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
,,,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Passes Attempted,21.97,67.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Pass Completion %,75.0%,74.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Progressive Passes,1.97,68.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Progressive Carries,2.77,94.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Successful Take-Ons,1.65,97.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Touches (Att Pen),6.60,96.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Progressive Passes Rec,7.14,90.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
,,,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Tackles,0.69,63.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Interceptions,0.27,71.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Blocks,0.37,15.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Clearances,0.91,62.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Aerials Won,1.78,44.0,2024-2025,Last 365 Days Men's Big 5 Leagues UCL UEL,3380.0
Non-Penalty Goals,0.49,73.0,2024-2025,2024-2025 Bundesliga,2563.0
npxG: Non-Penalty xG,0.68,97.0,2024-2025,2024-2025 Bundesliga,2563.0
Shots Total,4.00,95.0,2024-2025,2024-2025 Bundesliga,2563.0
Assists,0.28,84.0,2024-2025,2024-2025 Bundesliga,2563.0
xAG: Exp. Assisted Goals,0.24,92.0,2024-2025,2024-2025 Bundesliga,2563.0
