Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Statistic,Per 90,Percentile,,,
Non-Penalty Goals,0.38,80.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
npxG: Non-Penalty xG,0.23,51.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Shots Total,2.22,53.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Assists,0.55,99.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
xAG: Exp. Assisted Goals,0.49,99.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
npxG + xAG,0.72,96.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Shot-Creating Actions,6.53,99.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Passes Attempted,61.56,98.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Pass Completion %,79.5%,68.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Progressive Passes,8.75,98.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Progressive Carries,4.82,80.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Successful Take-Ons,2.15,81.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Touches (Att Pen),6.05,84.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Progressive Passes Rec,7.38,45.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Tackles,0.79,10.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Interceptions,0.44,54.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Blocks,0.31,1.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Clearances,0.27,10.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Aerials Won,0.21,15.0,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",2633.0
Non-Penalty Goals,0.35,83.0,2024-2025,2024-2025 Ligue 1,2041.0
npxG: Non-Penalty xG,0.22,58.0,2024-2025,2024-2025 Ligue 1,2041.0
Shots Total,1.98,49.0,2024-2025,2024-2025 Ligue 1,2041.0
Assists,0.49,98.0,2024-2025,2024-2025 Ligue 1,2041.0
xAG: Exp. Assisted Goals,0.49,98.0,2024-2025,2024-2025 Ligue 1,2041.0
npxG + xAG,0.71,93.0,2024-2025,2024-2025 Ligue 1,2041.0
Shot-Creating Actions,6.44,99.0,2024-2025,2024-2025 Ligue 1,2041.0
,,,2024-2025,2024-2025 Ligue 1,2041.0
Passes Attempted,60.63,94.0,2024-2025,2024-2025 Ligue 1,2041.0
Pass Completion %,78.5%,59.0,2024-2025,2024-2025 Ligue 1,2041.0
Progressive Passes,9.08,98.0,2024-2025,2024-2025 Ligue 1,2041.0
Progressive Carries,4.67,85.0,2024-2025,2024-2025 Ligue 1,2041.0
Successful Take-Ons,2.12,87.0,2024-2025,2024-2025 Ligue 1,2041.0
Touches (Att Pen),5.82,92.0,2024-2025,2024-2025 Ligue 1,2041.0
Progressive Passes Rec,8.11,72.0,2024-2025,2024-2025 Ligue 1,2041.0
,,,2024-2025,2024-2025 Ligue 1,2041.0
Tackles,0.66,9.0,2024-2025,2024-2025 Ligue 1,2041.0
Interceptions,0.31,22.0,2024-2025,2024-2025 Ligue 1,2041.0
Blocks,0.26,6.0,2024-2025,2024-2025 Ligue 1,2041.0
Clearances,0.26,18.0,2024-2025,2024-2025 Ligue 1,2041.0
Aerials Won,0.18,17.0,2024-2025,2024-2025 Ligue 1,2041.0
Non-Penalty Goals,0.40,82.0,2024-2025,2024-2025 Europa League,909.0
npxG: Non-Penalty xG,0.22,60.0,2024-2025,2024-2025 Europa League,909.0
Shots Total,2.48,66.0,2024-2025,2024-2025 Europa League,909.0
Assists,0.79,99.0,2024-2025,2024-2025 Europa League,909.0
xAG: Exp. Assisted Goals,0.53,98.0,2024-2025,2024-2025 Europa League,909.0
npxG + xAG,0.76,95.0,2024-2025,2024-2025 Europa League,909.0
Shot-Creating Actions,7.62,98.0,2024-2025,2024-2025 Europa League,909.0
,,,2024-2025,2024-2025 Europa League,909.0
Passes Attempted,61.19,98.0,2024-2025,2024-2025 Europa League,909.0
