Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Statistic,Per 90,Percentile,,,
Goals,0.00,33,2022-2023,2022-2023 Champions League,623.0
Assists,0.14,71,2022-2023,2022-2023 Champions League,623.0
Goals + Assists,0.14,51,2022-2023,2022-2023 Champions League,623.0
Non-Penalty Goals,0.00,34,2022-2023,2022-2023 Champions League,623.0
Penalty Kicks Made,0.00,47,2022-2023,2022-2023 Champions League,623.0
Penalty Kicks Attempted,0.00,46,2022-2023,2022-2023 Champions League,623.0
Yellow Cards,0.58,8,2022-2023,2022-2023 Champions League,623.0
Red Cards,0.00,52,2022-2023,2022-2023 Champions League,623.0
xG: Expected Goals,0.01,15,2022-2023,2022-2023 Champions League,623.0
npxG: Non-Penalty xG,0.01,15,2022-2023,2022-2023 Champions League,623.0
xAG: Exp. Assisted Goals,0.06,42,2022-2023,2022-2023 Champions League,623.0
npxG + xAG,0.07,20,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Progressive Carries,1.73,65,2022-2023,2022-2023 Champions League,623.0
Progressive Passes,6.50,75,2022-2023,2022-2023 Champions League,623.0
Progressive Passes Rec,1.73,41,2022-2023,2022-2023 Champions League,623.0
Shooting,Shooting,Shooting,2022-2023,2022-2023 Champions League,623.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Champions League,623.0
Goals,0.00,33,2022-2023,2022-2023 Champions League,623.0
Shots Total,0.29,13,2022-2023,2022-2023 Champions League,623.0
Shots on Target,0.00,18,2022-2023,2022-2023 Champions League,623.0
Shots on Target %,0.0%,18,2022-2023,2022-2023 Champions League,623.0
Goals/Shot,0.00,34,2022-2023,2022-2023 Champions League,623.0
Average Shot Distance,25.00,23,2022-2023,2022-2023 Champions League,623.0
Shots from Free Kicks,0.00,44,2022-2023,2022-2023 Champions League,623.0
Penalty Kicks Made,0.00,47,2022-2023,2022-2023 Champions League,623.0
Penalty Kicks Attempted,0.00,46,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
xG: Expected Goals,0.01,15,2022-2023,2022-2023 Champions League,623.0
npxG: Non-Penalty xG,0.01,15,2022-2023,2022-2023 Champions League,623.0
npxG/Shot,0.04,25,2022-2023,2022-2023 Champions League,623.0
Goals - xG,-0.01,56,2022-2023,2022-2023 Champions League,623.0
Non-Penalty Goals - npxG,-0.01,57,2022-2023,2022-2023 Champions League,623.0
Passing,Passing,Passing,2022-2023,2022-2023 Champions League,623.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Champions League,623.0
Passes Completed,92.31,99,2022-2023,2022-2023 Champions League,623.0
Passes Attempted,99.68,99,2022-2023,2022-2023 Champions League,623.0
Pass Completion %,92.6%,96,2022-2023,2022-2023 Champions League,623.0
Total Passing Distance,1323.56,96,2022-2023,2022-2023 Champions League,623.0
Progressive Passing Distance,418.07,98,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Passes Completed (Short),51.00,99,2022-2023,2022-2023 Champions League,623.0
Passes Attempted (Short),53.31,99,2022-2023,2022-2023 Champions League,623.0
Pass Completion % (Short),95.7%,95,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Passes Completed (Medium),28.03,92,2022-2023,2022-2023 Champions League,623.0
Passes Attempted (Medium),30.34,91,2022-2023,2022-2023 Champions League,623.0
Pass Completion % (Medium),92.4%,81,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Passes Completed (Long),6.50,86,2022-2023,2022-2023 Champions League,623.0
Passes Attempted (Long),7.51,81,2022-2023,2022-2023 Champions League,623.0
Pass Completion % (Long),86.5%,92,2022-2023,2022-2023 Champions League,623.0
Assists,0.14,71,2022-2023,2022-2023 Champions League,623.0
xAG: Exp. Assisted Goals,0.06,42,2022-2023,2022-2023 Champions League,623.0
xA: Expected Assists,0.12,67,2022-2023,2022-2023 Champions League,623.0
Key Passes,0.58,31,2022-2023,2022-2023 Champions League,623.0
Passes into Final Third,6.36,83,2022-2023,2022-2023 Champions League,623.0
Passes into Penalty Area,1.59,86,2022-2023,2022-2023 Champions League,623.0
Crosses into Penalty Area,0.00,29,2022-2023,2022-2023 Champions League,623.0
Progressive Passes,6.50,75,2022-2023,2022-2023 Champions League,623.0
Pass Types,Pass Types,Pass Types,2022-2023,2022-2023 Champions League,623.0
Statistic,Per 90,Percentile,2022-2023,2022-2023 Champions League,623.0
Passes Attempted,99.68,99,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Live-ball Passes,92.60,99,2022-2023,2022-2023 Champions League,623.0
Dead-ball Passes,6.79,95,2022-2023,2022-2023 Champions League,623.0
Passes from Free Kicks,6.36,99,2022-2023,2022-2023 Champions League,623.0
Through Balls,0.14,55,2022-2023,2022-2023 Champions League,623.0
Switches,0.29,38,2022-2023,2022-2023 Champions League,623.0
Crosses,0.14,21,2022-2023,2022-2023 Champions League,623.0
Throw-ins Taken,0.43,70,2022-2023,2022-2023 Champions League,623.0
Corner Kicks,0.00,32,2022-2023,2022-2023 Champions League,623.0
,,,2022-2023,2022-2023 Champions League,623.0
Inswinging Corner Kicks,0.00,37,2022-2023,2022-2023 Champions League,623.0
Outswinging Corner Kicks,0.00,38,2022-2023,2022-2023 Champions League,623.0
