Standard Stats,Standard Stats,Standard Stats,season,competition,minutes_played
Statistic,Per 90,Percentile,,,
Goals,0.20,88,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Assists,0.17,85,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goals + Assists,0.37,91,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Non-Penalty Goals,0.15,84,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Penalty Kicks Made,0.05,93,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Penalty Kicks Attempted,0.07,96,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Yellow Cards,0.02,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Red Cards,0.00,60,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
xG: Expected Goals,0.12,79,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
npxG: Non-Penalty xG,0.06,45,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
xAG: Exp. Assisted Goals,0.13,77,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
npxG + xAG,0.19,64,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Carries,2.28,89,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Passes,8.66,95,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Passes Rec,1.81,51,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shooting,Shooting,Shooting,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goals,0.20,88,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shots Total,1.42,79,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shots on Target,0.52,84,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shots on Target %,36.8%,79,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goals/Shot,0.11,75,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goals/Shot on Target,0.29,59,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Average Shot Distance,26.30,7,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Shots from Free Kicks,0.07,84,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Penalty Kicks Made,0.05,93,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Penalty Kicks Attempted,0.07,96,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
xG: Expected Goals,0.12,79,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
npxG: Non-Penalty xG,0.06,45,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
npxG/Shot,0.05,22,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Goals - xG,+0.07,92,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Non-Penalty Goals - npxG,+0.08,94,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passing,Passing,Passing,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Statistic,Per 90,Percentile,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Completed,97.18,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Passes Attempted,104.33,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Pass Completion %,93.1%,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Total Passing Distance,1732.10,99,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
Progressive Passing Distance,392.23,97,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
,,,2024-2025,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",3625.0
